Academic Year,Company Name,No of Selects,Salary(LPA)
2020-2024,Intuit,1,41.54
2020-2024,VISA,11,32.7
2020-2024,Analog Devices,1,25.43
2020-2024,Walmart,1,22.27
2020-2024,D.E.Shaw,1,21
2020-2024,NXP,1,16.48
2020-2024,Target Corp,2,13.5
2020-2024,Flipkart Neev,1,13
2020-2024,Publicis Sapient,7,12.47
2020-2024,IBM ISDL,3,12
2020-2024,Flipkart,3,11
2020-2024,Providence,2,10.5
2020-2024,Infosys,6,9.5
2020-2024,Hero Motocorp,9,9
2020-2024,Wabtec Corp,2,8.5
2020-2024,Sales Force,2,8.25
2020-2024,Hyundai Motors,8,8.05
2020-2024,TVS Motors,6,8
2020-2024,Schlumberger,1,8
2020-2024,Michelin,2,8
2020-2024,Infineon,7,8
2020-2024,Mahindra & Mahindra,21,8
2020-2024,Daimler Truck,4,7.5
2020-2024,Hitachi Energy,1,7.5
2020-2024,Health Edge,1,7.5
2020-2024,MG Motors,2,7
2020-2024,Saint Gobain,2,7
2020-2024,TCS Digital,11,7
2020-2024,Verizon,10,6.6
2020-2024,Accenture,1,6.5
2020-2024,Schlumberger Cameron,1,6.5
2020-2024,Bank of America,31,6.45
2020-2024,Cognizant,1,6.4
2020-2024,Sify,30,6
2020-2024,ADP,3,6
2020-2024,ZF Motor Vehicle Control Systems,1,6
2020-2024,Epiroc,1,6
2020-2024,Grindwell Norton,1,5.7
2020-2024,Siemens Energy,2,5.5
2020-2024,Schnider Electric,7,5.5
2020-2024,Cognizant,9,5.4
2020-2024,Health Edge Technologies,4,5.2
2020-2024,Worley,1,5.15
2020-2024,Dhan.Ai,3,5
2020-2024,Persistent Systems,11,5
2020-2024,Delliotte,16,5
2020-2024,SuperGAS,2,4.75
2020-2024,Accenture,137,4.5
2020-2024,KPIT,90,4.5
2020-2024,TATA Technologies,2,4.5
2020-2024,Kellog Brown & Roots Engineering and Construction (KBR),1,4.5
2020-2024,IBM CIC,6,4.5
2020-2024,Cyient,1,4.5
2020-2024,Tata Consulting Engineer,5,4.5
2020-2024,Cognizant GenC,7,4.5
2020-2024,Renault Nissan,39,4.25
2020-2024,Genpact,33,4.17
2020-2024,Qualizeal,43,4
2020-2024,Capgemini,122,4
2020-2024,Endurance Technologies,1,3.75
2020-2024,Vem Technologies,1,3.5
2020-2024,Amazon Non Technical,5,3.5
2020-2024,TCS Ninja,2,3.5
2020-2024,TCS NQT,17,3.5
2020-2024,Tech Mahindra,39,3.25
2020-2024,Chart Industries,2,3.25
2020-2024,Movate,6,2.4
2020-2024,Formonic,2,2.16
2020-2024,Amara Raja Batteries(MBA),1,4
2020-2024,D-Mart (MBA),2,3
2019-2023,Adobe,1,41
2019-2023,NXP,1,23
2019-2023,Lowei,1,19.4
2019-2023,DarwinBox,1,16.3
2019-2023,Target Corporation,2,13.84
2019-2023,Flipkart Neev Internship,2,13.52
2019-2023,Publics Sapiant,20,12.47
2019-2023,Athena Health,3,12
2019-2023,Amadeus,2,11.77
2019-2023,Optum,69,11.77
2019-2023,IBM(ISDL),1,11.77
2019-2023,State Street,10,11.77
2019-2023,Caterpillar,3,11.77
2019-2023,Brillio,10,11.77
2019-2023,Providence,3,9.5
2019-2023,General Motors,1,9.45
2019-2023,Applied Materials,2,9.1
2019-2023,DBS,6,9
2019-2023,Michelin,1,8.9
2019-2023,Caterpillar,1,8.89
2019-2023,Zenoti,12,8.64
2019-2023,Tiger Analytics,19,8.5
2019-2023,Hero Motocorp (R&D)(Plant),11,8.5
2019-2023,Sales Force,2,8.25
2019-2023,EPAM,26,8
2019-2023,Sterilite Technologies,24,8
2019-2023,Mercedus Benz,8,8
2019-2023,Mahindra & Mahindra,3,8
2019-2023,Capgemini Senior Analyst,5,7.5
2019-2023,Forbes Marshall,1,7.5
2019-2023,Verizon,8,7.2
2019-2023,TCS NQT,12,7
2019-2023,HPE,2,7
2019-2023,Technip FMC,3,6.91
2019-2023,Cognizant GenC Next - Select,10,6.75
2019-2023,Latent View,5,6.7
2019-2023,Accenture AASE,5,6.5
2019-2023,Kaar Technologies,2,6.5
2019-2023,Bank of America,29,6.45
2019-2023,Saint Gobian,4,6.3
2019-2023,Hack with Infy (HWI),7,6.25
2019-2023,Persistent,9,6
2019-2023,Hexaware,2,6
2019-2023,Stellantis,1,6
2019-2023,Epiroc,5,6
2019-2023,Capgemini Analyst,20,5.75
2019-2023,Faurecia,3,5.5
2019-2023,Copart,1,5.5
2019-2023,Amdocs,4,5.3
2019-2023,Torry Harris,57,5
2019-2023,PwC,91,5
2019-2023,Lennox,1,5
2019-2023,Mu Sigma,23,5
2019-2023,Renew Power,28,5
2019-2023,Accenture ASE,149,4.5
2019-2023,PIE Infocomm,2,4.5
2019-2023,Dhan.Ai,1,4.5
2019-2023,Delloite,8,4.5
2019-2023,Capgemini Analyst,218,4.25
2019-2023,HCL,13,4.25
2019-2023,Cognizant GenC - Select,181,4
2019-2023,Urjanet,2,4
2019-2023,L & T Technologies,42,4
2019-2023,TeachNook,64,4
2019-2023,Qualizeal,8,4
2019-2023,CGI,43,3.93
2019-2023,Infytq,8,3.6
2019-2023,Genpact,14,3.6
2019-2023,Infosys,15,3.6
2019-2023,My Capitan,1,3.5
2019-2023,Codevita#10,5,3.36
2019-2023,Tech Mahindra,27,3.2
2019-2023,CADSYS,1,3
2019-2023,Focus Edumatics,52,2.5
2019-2023,TropoLeap,3,4
2019-2023,Cleartrip via Flipkart,1,32.57
2019-2023,Bank of America,8,6
2019-2023,CITTA Solutions(MBA),2,5
2019-2023,NJ Group(MBA),2,5.5
2019-2023,FACTSET(MBA),8,3.25
2019-2023,LQube(MBA),2,3
2019-2023,ESAF,1,3
2018-2022,Paloalto,2,49
2018-2022,Microsoft,1,44.3
2018-2022,Adobe,1,41
2018-2022,Expedia,4,37.4
2018-2022,Myntra,5,27
2018-2022,Flipkart,5,26.57
2018-2022,Cloudera,1,22.7
2018-2022,Walmart,1,22.39
2018-2022,Deshaw,1,20
2018-2022,Wells Fargo,2,20
2018-2022,VMWare,3,19.97
2018-2022,Experian,2,15.12
2018-2022,JP Morgan,1,14
2018-2022,NCR,6,14
2018-2022,BNY MELLON,2,14
2018-2022,F5,2,14
2018-2022,Amazon,3,13
2018-2022,Providence,2,12
2018-2022,Zenoti – Software Engineer,5,11.73
2018-2022,NAVIS – Associate Software Engineer,1,11.6
2018-2022,Athena Health,8,11
2018-2022,Optum,54,10
2018-2022,NAVIS – Associate Consultant,1,10
2018-2022,HPE,3,10
2018-2022,Providence – Service Engineer,1,9
2018-2022,FactSet,6,8.91
2018-2022,Halliburton,1,8.68
2018-2022,Intellipaat Software Solutions,1,8.65
2018-2022,State Street Corp,12,8.6
2018-2022,DBS Bank,3,8.5
2018-2022,Caterpillar,6,8.05
2018-2022,OpenText,28,8
2018-2022,Delhivery,3,8
2018-2022,Persistent – Higer Package(Viveka),6,7.5
2018-2022,CAPGEMINI – Senior Analyst,7,7.5
2018-2022,Informatica,2,7.4
2018-2022,Zenoti – Implementation Cosnsultant,8,7.23
2018-2022,IBM-CIO,14,7.2
2018-2022,Aptean – Bangalore,15,7.02
2018-2022,Dell,2,7
2018-2022,TCS Digital,10,7
2018-2022,Zemoso,3,6.89
2018-2022,Cognizant – GenC Next,13,6.75
2018-2022,Accenture – Advanced ASE,53,6.6
2018-2022,Publicis Sapient,6,6.5
2018-2022,Kaar Technologies,3,6.5
2018-2022,Verizon,16,6.5
2018-2022,Latent view,7,6.5
2018-2022,Mahindra & Mahindra,18,6.5
2018-2022,Saint Gobain,10,6.3
2018-2022,Infosys – HWI Digital Specialist Engineer,16,6.25
2018-2022,Bank of America,10,6
2018-2022,Price Water Coopers (PwC),21,6
2018-2022,EPAM,6,6
2018-2022,Tek Systems – Trainee Engineer,4,6
2018-2022,MAQ,8,6
2018-2022,XPO,3,6
2018-2022,SS&C,3,6
2018-2022,Epiroc,5,6
2018-2022,Rockwell Automation,4,6
2018-2022,Aptean – Madurai,11,5.94
2018-2022,Cameron Schlumberger,4,5.94
2018-2022,TA Digital,7,5.7
2018-2022,Zoho,5,5.6
2018-2022,GEP,2,5.5
2018-2022,JSW,4,5.5
2018-2022,Seneca Global,6,5.25
2018-2022,Amdocs,5,5.2
2018-2022,ProKarma Global,5,5
2018-2022,Accolite,6,5
2018-2022,Harman – A Samsung Company,15,5
2018-2022,Technovert – Full Stack Developer,2,5
2018-2022,Hexaware,4,5
2018-2022,Lumen,4,5
2018-2022,Persistent – Base Package(Navayauga),82,4.71
2018-2022,ATKINS,3,4.57
2018-2022,Accenture – ASE,201,4.5
2018-2022,Technovert (Software Engineer – Data & Analytics),4,4.5
2018-2022,Faurecia,9,4.5
2018-2022,Aizen Algo,1,4.5
2018-2022,Brillio,6,4.5
2018-2022,Hyundai Mobis,2,4.5
2018-2022,Symphony Retail,7,4.5
2018-2022,IBM,1,4.5
2018-2022,Flexibility,1,4.4
2018-2022,Capgemini – Analyst,146,4
2018-2022,Virtusa – Neural Hack,54,4
2018-2022,Virtusa – Campus Hiring,7,4
2018-2022,Hexaware,20,4
2018-2022,Zensar,10,4
2018-2022,Sunera,28,4
2018-2022,Verzeo,4,4
2018-2022,Cognizant – GenC,74,4
2018-2022,Cognizant – GenC Elevate (4 LPA+ Skill Bonus),24,4
2018-2022,LTTS,29,4
2018-2022,Frugal Testing,1,4
2018-2022,Infosys – HWI Systems Engineer,5,3.6
2018-2022,Infosys – Infytq,7,3.6
2018-2022,Infosys,92,3.6
2018-2022,HCL,3,3.6
2018-2022,WIPRO,265,3.5
2018-2022,MuSigma,84,3.5
2018-2022,Mindtree,1,3.5
2018-2022,TCS Ninja,142,3.36
2018-2022,CSS Corp,9,3.2
2018-2022,Teachnook,15,3
2018-2022,Quest Global,1,3
2018-2022,ARI,3,3
2018-2022,FACE,6,3
2018-2022,Skolar,5,2.2
2018-2022,FactSet,2,3.22
2018-2022,SS&C,3,6
2018-2022,"Sobha Constructions Dubai	",1,48000 AED
2018-2022,Intellipaat Software Solutions,4,9
